id;ASJC_4d;asjc_description;asjc_codeName
1;1000;Multidisciplinary;
2;1100;General Agricultural and Biological Sciences;AGRI
3;1101;Agricultural and Biological Sciences (miscellaneous);
4;1102;Agronomy and Crop Science;
5;1103;Animal Science and Zoology;
6;1104;Aquatic Science;
7;1105;Ecology, Evolution, Behavior and Systematics;
8;1106;Food Science;
9;1107;Forestry;
10;1108;Horticulture;
11;1109;Insect Science;
12;1110;Plant Science;
13;1111;Soil Science;
14;1200;General Arts and Humanities;HUM
15;1201;Arts and Humanities (miscellaneous);
16;1202;History;
17;1203;Language and Linguistics;
18;1204;Archaeology;
19;1205;Classics;
20;1206;Conservation;
21;1207;History and Philosophy of Science;
22;1208;Literature and Literary Theory;
23;1209;Museology;
24;1210;Music;
25;1211;Philosophy;
26;1212;Religious studies;
27;1213;Visual Arts and Performing Arts;
28;1300;General Biochemistry, Genetics and Molecular Biology;BIO
29;1301;Biochemistry, Genetics and Molecular Biology (miscellaneous);
30;1302;Ageing;
31;1303;Biochemistry;
32;1304;Biophysics;
33;1305;Biotechnology;
34;1306;Cancer Research;
35;1307;Cell Biology;
36;1308;Clinical Biochemistry;
37;1309;Developmental Biology;
38;1310;Endocrinology;
39;1311;Genetics;
40;1312;Molecular Biology;
41;1313;Molecular Medicine;
42;1314;Physiology;
43;1315;Structural Biology;
44;1400;General Business, Management and Accounting;BUS
45;1401;Business, Management and Accounting (miscellaneous);
46;1402;Accounting;
47;1403;Business and International Management;
48;1404;Management Information Systems;
49;1405;Management of Technology and Innovation;
50;1406;Marketing;
51;1407;Organizational Behavior and Human Resource Management;
52;1408;Strategy and Management;
53;1409;Tourism, Leisure and Hospitality Management;
54;1410;Industrial relations;
55;1500;General Chemical Engineering;CHEMENG
56;1501;Chemical Engineering (miscellaneous);
57;1502;Bioengineering;
58;1503;Catalysis;
59;1504;Chemical Health and Safety;
60;1505;Colloid and Surface Chemistry;
61;1506;Filtration and Separation;
62;1507;Fluid Flow and Transfer Processes;
63;1508;Process Chemistry and Technology;
64;1600;General Chemistry;CHEM
65;1601;Chemistry (miscellaneous);
66;1602;Analytical Chemistry;
67;1603;Electrochemistry;
68;1604;Inorganic Chemistry;
69;1605;Organic Chemistry;
70;1606;Physical and Theoretical Chemistry;
71;1607;Spectroscopy;
72;1700;General Computer Science;COMP
73;1701;Computer Science (miscellaneous);
74;1702;Artificial Intelligence;
75;1703;Computational Theory and Mathematics;
76;1704;Computer Graphics and Computer-Aided Design;
77;1705;Computer Networks and Communications;
78;1706;Computer Science Applications;
79;1707;Computer Vision and Pattern Recognition;
80;1708;Hardware and Architecture;
81;1709;Human-Computer Interaction;
82;1710;Information Systems;
83;1711;Signal Processing;
84;1712;Software;
85;1800;General Decision Sciences;DEC
86;1801;Decision Sciences (miscellaneous);
87;1802;Information Systems and Management;
88;1803;Management Science and Operations Research;
89;1804;Statistics, Probability and Uncertainty;
90;1900;General Earth and Planetary Sciences;EARTH
91;1901;Earth and Planetary Sciences (miscellaneous);
92;1902;Atmospheric Science;
93;1903;Computers in Earth Sciences;
94;1904;Earth-Surface Processes;
95;1905;Economic Geology;
96;1906;Geochemistry and Petrology;
97;1907;Geology;
98;1908;Geophysics;
99;1909;Geotechnical Engineering and Engineering Geology;
100;1910;Oceanography;
101;1911;Palaeontology;
102;1912;Space and Planetary Science;
103;1913;Stratigraphy;
104;2000;General Economics, Econometrics and Finance;ECON
105;2001;Economics, Econometrics and Finance (miscellaneous);
106;2002;Economics and Econometrics;
107;2003;Finance;
