Gender,ASJC_2d,Country,Early,Mid,Late,NoAuthors
male,16,Canada,Bottom,Bottom,Bottom,11
male,16,United States,Middle,Bottom,Bottom,157
male,16,United States,Bottom,Bottom,Bottom,211
male,16,Australia,Middle,Bottom,Bottom,12
male,16,France,Middle,Middle,Bottom,67
male,16,Slovakia,Middle,Middle,Bottom,2
male,16,United States,Bottom,Middle,Bottom,29
male,16,South Korea,Bottom,Middle,Bottom,4
male,16,Japan,Bottom,Bottom,Bottom,128
male,16,Germany,Bottom,Bottom,Bottom,90
male,16,France,Bottom,Bottom,Bottom,45
female,16,Japan,Middle,Middle,Bottom,9
female,16,Germany,Bottom,Bottom,Bottom,18
male,16,Germany,Middle,Middle,Bottom,41
male,16,Italy,Bottom,Bottom,Bottom,30
female,16,Poland,Top,Middle,Bottom,1
male,16,Italy,Bottom,Middle,Bottom,10
male,16,United States,Middle,Middle,Bottom,107
male,16,Austria,Top,Bottom,Bottom,1
male,16,Japan,Middle,Bottom,Bottom,89
male,16,South Korea,Bottom,Bottom,Bottom,9
male,16,Hungary,Bottom,Bottom,Bottom,7
male,16,Poland,Bottom,Bottom,Bottom,19
male,16,Netherlands,Bottom,Bottom,Bottom,20
female,16,Switzerland,Bottom,Bottom,Bottom,2
female,16,Japan,Bottom,Bottom,Bottom,10
male,16,Hungary,Middle,Bottom,Bottom,4
female,16,Italy,Middle,Bottom,Bottom,21
female,16,France,Bottom,Bottom,Bottom,25
male,16,United Kingdom,Middle,Middle,Bottom,47
female,16,Italy,Bottom,Bottom,Bottom,24
male,16,United Kingdom,Bottom,Bottom,Bottom,47
male,16,Germany,Middle,Bottom,Bottom,38
male,16,United Kingdom,Middle,Bottom,Bottom,30
male,16,Lithuania,Bottom,Bottom,Bottom,4
male,16,Canada,Middle,Middle,Bottom,15
male,16,Japan,Bottom,Middle,Bottom,29
male,16,Switzerland,Bottom,Bottom,Bottom,10
female,16,United Kingdom,Bottom,Bottom,Bottom,6
female,16,Spain,Bottom,Bottom,Bottom,28
female,16,Spain,Middle,Bottom,Bottom,18
female,16,United States,Bottom,Bottom,Bottom,50
male,16,Mexico,Bottom,Bottom,Bottom,17
female,16,Poland,Bottom,Bottom,Bottom,15
male,16,Sweden,Top,Middle,Bottom,4
female,16,United States,Middle,Bottom,Bottom,22
male,16,South Korea,Middle,Middle,Bottom,16
female,16,United States,Middle,Middle,Bottom,21
male,16,Spain,Bottom,Bottom,Bottom,18
male,16,Netherlands,Bottom,Middle,Bottom,5
male,16,United States,Top,Middle,Bottom,26
female,16,Ireland,Bottom,Middle,Bottom,2
male,16,Belgium,Bottom,Bottom,Bottom,9
male,16,Japan,Middle,Middle,Bottom,130
male,16,Italy,Middle,Bottom,Bottom,18
female,16,Turkey,Bottom,Bottom,Bottom,5
female,16,Germany,Middle,Middle,Bottom,5
male,16,Italy,Middle,Middle,Bottom,43
male,16,Spain,Middle,Middle,Bottom,52
female,16,United Kingdom,Middle,Top,Bottom,1
female,16,Slovenia,Bottom,Bottom,Bottom,1
female,16,Netherlands,Middle,Bottom,Bottom,2
male,16,France,Middle,Bottom,Bottom,36
male,16,Germany,Bottom,Middle,Bottom,9
female,16,Portugal,Bottom,Bottom,Bottom,10
female,16,Mexico,Bottom,Bottom,Bottom,12
male,16,Denmark,Bottom,Bottom,Bottom,4
male,16,South Korea,Middle,Top,Bottom,1
male,16,United Kingdom,Bottom,Middle,Bottom,17
male,16,Sweden,Middle,Middle,Bottom,5
female,16,France,Middle,Middle,Bottom,20
female,16,Finland,Middle,Bottom,Bottom,2
female,16,Finland,Bottom,Bottom,Bottom,2
male,16,Spain,Top,Top,Bottom,3
female,16,Italy,Bottom,Middle,Bottom,4
male,16,Poland,Middle,Middle,Bottom,18
male,16,Ireland,Bottom,Bottom,Bottom,2
male,16,Belgium,Middle,Bottom,Bottom,3
male,16,Chile,Bottom,Bottom,Bottom,4
male,16,Turkey,Bottom,Bottom,Bottom,7
female,16,Canada,Bottom,Bottom,Bottom,8
female,16,Canada,Middle,Bottom,Bottom,7
male,16,Spain,Bottom,Middle,Bottom,9
male,16,Denmark,Bottom,Middle,Bottom,1
male,16,Austria,Bottom,Bottom,Bottom,3
male,16,Israel,Middle,Bottom,Bottom,2
female,16,Italy,Middle,Middle,Bottom,26
male,16,Sweden,Bottom,Bottom,Bottom,10
male,16,South Korea,Middle,Bottom,Bottom,6
male,16,Australia,Bottom,Bottom,Bottom,12
male,16,Finland,Bottom,Bottom,Bottom,3
male,16,Canada,Middle,Bottom,Bottom,9
female,16,Portugal,Bottom,Middle,Bottom,3
male,16,Czech Republic,Bottom,Bottom,Bottom,10
male,16,Japan,Middle,Top,Bottom,8
male,16,Slovenia,Bottom,Bottom,Bottom,2
male,16,Latvia,Middle,Bottom,Bottom,1
female,16,Poland,Middle,Middle,Bottom,7
female,16,United Kingdom,Middle,Middle,Bottom,11
female,16,Chile,Bottom,Bottom,Bottom,2
male,16,Israel,Bottom,Bottom,Bottom,6
male,16,Slovakia,Bottom,Bottom,Bottom,4
male,16,France,Bottom,Middle,Bottom,13
male,16,Turkey,Middle,Middle,Bottom,10
male,16,Australia,Middle,Middle,Bottom,10
female,16,Australia,Middle,Middle,Bottom,3
female,16,France,Middle,Bottom,Bottom,19
female,16,Netherlands,Middle,Middle,Bottom,1
female,16,Japan,Middle,Bottom,Bottom,10
female,16,Norway,Bottom,Bottom,Bottom,3
male,16,Greece,Top,Middle,Bottom,2
male,16,Norway,Bottom,Bottom,Bottom,3
male,16,Finland,Middle,Middle,Bottom,2
male,16,Finland,Middle,Bottom,Bottom,2
male,16,Hungary,Bottom,Middle,Bottom,5
male,16,Japan,Top,Middle,Bottom,8
female,16,Australia,Bottom,Bottom,Bottom,2
female,16,Spain,Bottom,Middle,Bottom,10
male,16,New Zealand,Bottom,Bottom,Bottom,1
male,16,Spain,Middle,Bottom,Bottom,21
male,16,Switzerland,Middle,Bottom,Bottom,5
male,16,Germany,Middle,Top,Bottom,5
female,16,Denmark,Middle,Middle,Bottom,2
male,16,Turkey,Middle,Bottom,Bottom,4
male,16,Turkey,Top,Middle,Bottom,1
male,16,Czech Republic,Middle,Bottom,Bottom,2
male,16,France,Top,Bottom,Bottom,1
male,16,Norway,Middle,Bottom,Bottom,2
male,16,Australia,Bottom,Middle,Bottom,3
female,16,Japan,Bottom,Middle,Bottom,3
male,16,Greece,Bottom,Bottom,Bottom,2
male,16,United States,Top,Bottom,Bottom,3
male,16,Portugal,Bottom,Middle,Bottom,4
male,16,Canada,Middle,Top,Bottom,1
male,16,Mexico,Middle,Bottom,Bottom,3
female,16,Poland,Bottom,Middle,Bottom,4
male,16,Switzerland,Bottom,Middle,Bottom,4
male,16,United Kingdom,Middle,Top,Bottom,3
female,16,Hungary,Bottom,Bottom,Bottom,3
male,16,Belgium,Top,Middle,Bottom,1
female,16,Israel,Bottom,Bottom,Bottom,6
female,16,Greece,Middle,Middle,Bottom,3
male,16,Austria,Top,Middle,Bottom,1
