Gender,ASJC_2d,Country,Early,Mid,Late,NoAuthors
female,16,Israel,Bottom,Bottom,Bottom,5
male,16,Italy,Bottom,Bottom,Bottom,28
male,16,United States,Bottom,Bottom,Bottom,295
male,16,Japan,Bottom,Bottom,Bottom,123
male,16,France,Bottom,Bottom,Bottom,49
male,16,Germany,Bottom,Bottom,Bottom,88
male,16,United Kingdom,Bottom,Bottom,Bottom,66
female,16,Mexico,Bottom,Bottom,Bottom,11
female,16,Poland,Bottom,Bottom,Bottom,22
female,16,Germany,Bottom,Bottom,Bottom,21
male,16,Israel,Bottom,Bottom,Bottom,8
female,16,United States,Bottom,Bottom,Bottom,62
male,16,Czech Republic,Bottom,Bottom,Bottom,11
male,16,Netherlands,Bottom,Bottom,Bottom,26
female,16,Canada,Bottom,Bottom,Bottom,9
male,16,Switzerland,Bottom,Bottom,Bottom,14
male,16,Canada,Bottom,Bottom,Bottom,15
female,16,France,Bottom,Bottom,Bottom,25
male,16,Finland,Bottom,Bottom,Bottom,5
female,16,United Kingdom,Bottom,Bottom,Bottom,7
female,16,Netherlands,Bottom,Bottom,Bottom,3
male,16,United States,Middle,Bottom,Bottom,124
male,16,Japan,Middle,Bottom,Bottom,79
male,16,Mexico,Bottom,Bottom,Bottom,13
male,16,Belgium,Bottom,Bottom,Bottom,12
female,16,Switzerland,Bottom,Bottom,Bottom,2
male,16,Poland,Bottom,Bottom,Bottom,25
male,16,Slovakia,Bottom,Bottom,Bottom,3
male,16,Spain,Bottom,Bottom,Bottom,22
male,16,South Korea,Bottom,Bottom,Bottom,8
female,16,Spain,Bottom,Bottom,Bottom,26
female,16,Japan,Middle,Bottom,Bottom,11
male,16,France,Middle,Bottom,Bottom,31
female,16,Italy,Middle,Bottom,Bottom,24
male,16,Italy,Middle,Bottom,Bottom,16
male,16,Australia,Middle,Bottom,Bottom,10
female,16,United Kingdom,Middle,Bottom,Bottom,5
male,16,United Kingdom,Middle,Bottom,Bottom,32
male,16,Germany,Top,Bottom,Bottom,2
male,16,Denmark,Bottom,Bottom,Bottom,3
female,16,Norway,Bottom,Bottom,Bottom,6
female,16,France,Middle,Bottom,Bottom,20
female,16,United States,Middle,Bottom,Bottom,27
male,16,Switzerland,Middle,Bottom,Bottom,8
male,16,Austria,Top,Bottom,Bottom,2
female,16,Japan,Bottom,Bottom,Bottom,6
female,16,Estonia,Bottom,Bottom,Bottom,1
male,16,Slovenia,Bottom,Bottom,Bottom,2
male,16,Sweden,Bottom,Bottom,Bottom,9
male,16,Ireland,Bottom,Bottom,Bottom,3
male,16,Finland,Middle,Bottom,Bottom,1
male,16,Hungary,Middle,Bottom,Bottom,7
female,16,Czech Republic,Middle,Bottom,Bottom,2
male,16,Germany,Middle,Bottom,Bottom,39
female,16,Italy,Bottom,Bottom,Bottom,22
male,16,Hungary,Bottom,Bottom,Bottom,5
female,16,Spain,Middle,Bottom,Bottom,19
female,16,Ireland,Bottom,Bottom,Bottom,2
male,16,Australia,Bottom,Bottom,Bottom,16
