Gender,ASJC_2d,Country,Early,Mid,Late,NoAuthors
female,13,Canada,Bottom,Bottom,Bottom,40
male,13,Japan,Bottom,Bottom,Bottom,247
female,13,United Kingdom,Bottom,Bottom,Bottom,64
female,13,United States,Bottom,Middle,Bottom,91
male,13,France,Bottom,Middle,Bottom,30
male,13,Luxembourg,Bottom,Middle,Bottom,1
female,13,United States,Middle,Middle,Bottom,315
male,13,Netherlands,Middle,Bottom,Bottom,24
female,13,Canada,Middle,Middle,Bottom,27
male,13,United States,Bottom,Bottom,Bottom,541
male,13,France,Middle,Bottom,Bottom,90
male,13,United States,Bottom,Middle,Bottom,176
male,13,South Korea,Bottom,Bottom,Bottom,14
male,13,Germany,Top,Bottom,Bottom,4
male,13,Germany,Bottom,Bottom,Bottom,121
male,13,United Kingdom,Middle,Bottom,Bottom,75
male,13,Japan,Middle,Middle,Bottom,307
male,13,United Kingdom,Top,Top,Bottom,15
male,13,Austria,Top,Top,Bottom,1
male,13,Sweden,Middle,Bottom,Bottom,19
male,13,Japan,Middle,Bottom,Bottom,229
male,13,United Kingdom,Bottom,Bottom,Bottom,73
female,13,Denmark,Middle,Middle,Bottom,6
male,13,Canada,Bottom,Middle,Bottom,9
male,13,United States,Middle,Middle,Bottom,713
female,13,United States,Middle,Bottom,Bottom,269
female,13,France,Middle,Bottom,Bottom,105
female,13,France,Bottom,Bottom,Bottom,119
female,13,Hungary,Bottom,Bottom,Bottom,8
male,13,Italy,Bottom,Middle,Bottom,13
female,13,United States,Bottom,Bottom,Bottom,385
female,13,Germany,Bottom,Bottom,Bottom,89
male,13,South Korea,Middle,Middle,Bottom,18
female,13,Netherlands,Middle,Middle,Bottom,9
female,13,Japan,Middle,Middle,Bottom,53
male,13,Turkey,Bottom,Bottom,Bottom,6
male,13,United States,Middle,Bottom,Bottom,524
female,13,Japan,Bottom,Bottom,Bottom,88
female,13,Spain,Middle,Middle,Bottom,39
male,13,Spain,Bottom,Middle,Bottom,11
female,13,Italy,Bottom,Middle,Bottom,29
female,13,Poland,Middle,Bottom,Bottom,11
male,13,France,Middle,Middle,Bottom,137
male,13,Slovenia,Bottom,Bottom,Bottom,2
male,13,Germany,Top,Middle,Bottom,22
female,13,Japan,Top,Middle,Bottom,7
female,13,Mexico,Bottom,Bottom,Bottom,22
male,13,Poland,Middle,Middle,Bottom,11
female,13,Italy,Bottom,Bottom,Bottom,91
female,13,United States,Top,Middle,Bottom,37
male,13,United Kingdom,Top,Middle,Bottom,30
male,13,Italy,Middle,Bottom,Bottom,40
male,13,Germany,Middle,Bottom,Bottom,62
male,13,Germany,Bottom,Middle,Bottom,16
male,13,Japan,Bottom,Middle,Bottom,80
male,13,Israel,Middle,Middle,Bottom,18
male,13,Switzerland,Bottom,Bottom,Bottom,28
female,13,Turkey,Bottom,Bottom,Bottom,1
male,13,Switzerland,Middle,Bottom,Bottom,20
female,13,Spain,Middle,Bottom,Bottom,30
male,13,Canada,Bottom,Bottom,Bottom,42
male,13,Spain,Middle,Bottom,Bottom,38
male,13,Israel,Bottom,Bottom,Bottom,12
male,13,South Korea,Middle,Bottom,Bottom,17
female,13,Israel,Middle,Bottom,Bottom,19
male,13,United Kingdom,Middle,Middle,Bottom,144
female,13,Belgium,Middle,Bottom,Bottom,6
female,13,Israel,Middle,Middle,Bottom,20
female,13,Finland,Bottom,Bottom,Bottom,11
female,13,United Kingdom,Middle,Bottom,Bottom,51
female,13,United Kingdom,Middle,Middle,Bottom,50
female,13,Poland,Bottom,Bottom,Bottom,30
female,13,Belgium,Bottom,Bottom,Bottom,12
female,13,Canada,Middle,Bottom,Bottom,27
male,13,Germany,Middle,Middle,Bottom,111
male,13,Canada,Middle,Middle,Bottom,94
male,13,Australia,Middle,Middle,Bottom,34
male,13,Canada,Middle,Bottom,Bottom,38
male,13,Italy,Bottom,Bottom,Bottom,47
male,13,Turkey,Middle,Bottom,Bottom,7
female,13,Japan,Middle,Bottom,Bottom,44
male,13,France,Bottom,Bottom,Bottom,77
male,13,Japan,Top,Middle,Bottom,36
female,13,Japan,Bottom,Middle,Bottom,22
female,13,Spain,Bottom,Bottom,Bottom,53
female,13,Australia,Bottom,Bottom,Bottom,29
female,13,Italy,Middle,Middle,Bottom,84
female,13,France,Bottom,Middle,Bottom,31
male,13,United States,Middle,Top,Bottom,27
female,13,Sweden,Bottom,Bottom,Bottom,16
male,13,Chile,Bottom,Bottom,Bottom,3
female,13,Hungary,Bottom,Middle,Bottom,2
female,13,Germany,Middle,Middle,Bottom,31
male,13,Sweden,Middle,Middle,Bottom,20
male,13,Spain,Top,Middle,Bottom,8
male,13,Australia,Bottom,Bottom,Bottom,17
female,13,Netherlands,Middle,Bottom,Bottom,19
female,13,Australia,Middle,Bottom,Bottom,15
male,13,Poland,Bottom,Bottom,Bottom,17
female,13,Greece,Bottom,Bottom,Bottom,15
female,13,United States,Top,Bottom,Bottom,5
male,13,Japan,Middle,Top,Bottom,14
female,13,Italy,Middle,Bottom,Bottom,71
